iter	RMSE
0	6.044426335e-05
1	5.995193416e-05
2	5.946831219e-05
3	5.899687453e-05
4	5.854287486e-05
5	5.810426935e-05
6	5.767756351e-05
7	5.726374134e-05
8	5.686140232e-05
9	5.647334376e-05
10	5.609397037e-05
11	5.572962143e-05
12	5.537276071e-05
13	5.503025915e-05
14	5.469501759e-05
15	5.436741692e-05
16	5.404982652e-05
17	5.374747261e-05
18	5.345161339e-05
19	5.316242062e-05
20	5.288314565e-05
21	5.261685665e-05
22	5.235582351e-05
23	5.210035707e-05
24	5.185563705e-05
25	5.161615824e-05
26	5.138255068e-05
27	5.116333639e-05
28	5.095011743e-05
29	5.073947274e-05
30	5.054101397e-05
31	5.034811743e-05
32	5.016133123e-05
33	4.997458379e-05
34	4.979593017e-05
35	4.961753953e-05
36	4.944756465e-05
37	4.928623397e-05
38	4.912692209e-05
39	4.897096768e-05
40	4.882321948e-05
41	4.868158638e-05
42	4.854140453e-05
43	4.840971312e-05
44	4.827969144e-05
45	4.815560347e-05
46	4.803387094e-05
47	4.791705588e-05
48	4.780235935e-05
49	4.768974782e-05
50	4.75798523e-05
51	4.747879669e-05
52	4.737781584e-05
53	4.727899977e-05
54	4.718700136e-05
55	4.70953143e-05
56	4.700699259e-05
57	4.692011452e-05
58	4.683574701e-05
59	4.675284837e-05
60	4.667047171e-05
61	4.65935997e-05
62	4.651757451e-05
63	4.644567763e-05
64	4.637067008e-05
65	4.630356358e-05
66	4.623823562e-05
67	4.617545428e-05
68	4.611475851e-05
69	4.605369894e-05
70	4.599604401e-05
71	4.593801718e-05
72	4.587947998e-05
73	4.582669268e-05
74	4.577364792e-05
75	4.572311625e-05
76	4.567323019e-05
77	4.562185471e-05
78	4.557370368e-05
79	4.552711553e-05
80	4.548465856e-05
81	4.544450022e-05
82	4.540586802e-05
83	4.536285024e-05
84	4.532527721e-05
85	4.528560082e-05
86	4.524717321e-05
87	4.520788735e-05
88	4.517220489e-05
89	4.513973268e-05
90	4.510829961e-05
91	4.507720165e-05
92	4.504689118e-05
93	4.50160927e-05
94	4.498814669e-05
95	4.495985011e-05
96	4.493146744e-05
97	4.490575054e-05
98	4.488044882e-05
99	4.485168645e-05
100	4.482681686e-05
101	4.479940522e-05
102	4.477392782e-05
103	4.474383248e-05
104	4.471758427e-05
105	4.469228107e-05
106	4.467113384e-05
107	4.46505353e-05
108	4.462728515e-05
109	4.460763935e-05
110	4.458676888e-05
111	4.456462729e-05
112	4.454085979e-05
113	4.452265824e-05
114	4.450261708e-05
115	4.44860999e-05
116	4.44653494e-05
117	4.444748671e-05
118	4.443104369e-05
119	4.441362769e-05
120	4.439476998e-05
121	4.437949655e-05
122	4.436303638e-05
123	4.434371103e-05
124	4.432881823e-05
125	4.431275076e-05
126	4.429600008e-05
